    Temperature          Paths
     0.00724638        4.79702
     0.00719424        4.76977
     0.00714286          4.778
      0.0070922        4.76977
     0.00704225        4.77375
     0.00699301        4.77375
     0.00694444        4.76977
     0.00689655          4.778
     0.00684932        4.76977
     0.00680272        4.77375
     0.00675676        4.76977
     0.00671141        4.76977
     0.00666667        4.77375
     0.00662252        4.76977
     0.00657895          4.778
     0.00653595        4.77375
     0.00649351          4.778
     0.00645161        4.77375
     0.00641026        4.76977
     0.00636943        4.77375
     0.00632911        4.76977
     0.00628931        4.77375
        0.00625        4.76977
     0.00621118        4.77375
     0.00617284        4.76977
     0.00613497        4.76977
     0.00609756        4.76977
     0.00606061        4.77375
      0.0060241        4.76977
     0.00598802        4.76977
     0.00595238        4.76977
     0.00591716        4.76977
     0.00588235        4.77375
     0.00584795        4.76977
     0.00581395        4.77375
     0.00578035        4.76977
     0.00574713        4.76977
     0.00571429        4.77375
     0.00568182        4.77375
     0.00564972        4.76977
     0.00561798        4.76977
     0.00558659        4.76977
     0.00555556        4.77375
     0.00552486        4.76977
     0.00549451        4.76977
     0.00546448        4.76977
     0.00543478        4.76977
     0.00540541        4.76977
     0.00537634          4.778
     0.00534759        4.76977
     0.00531915          4.778
     0.00529101          4.778
     0.00526316        4.76977
      0.0052356        4.77375
     0.00520833        4.78198
     0.00518135        4.77375
     0.00515464        4.76977
     0.00512821          4.778
     0.00510204        4.79702
     0.00507614        4.76977
     0.00505051        4.76977
     0.00502513          4.778
          0.005        4.76977
     0.00497512        4.77375
      0.0049505        4.76977
     0.00492611        4.77375
     0.00490196        4.76977
     0.00487805        4.76977
     0.00485437        4.76977
     0.00483092          4.778
     0.00480769        4.76977
     0.00478469        4.76977
      0.0047619        4.76977
     0.00473934          4.778
     0.00471698        4.76977
     0.00469484        4.76977
      0.0046729        4.76977
     0.00465116        4.76977
     0.00462963        4.76977
     0.00460829        4.76977
     0.00458716        4.76977
     0.00456621        4.77375
     0.00454545        4.76977
     0.00452489          4.778
      0.0045045        4.76977
      0.0044843        4.77375
     0.00446429        4.76977
     0.00444444        4.76977
     0.00442478        4.76977
     0.00440529        4.76977
     0.00438596        4.76977
     0.00436681        4.77375
     0.00434783        4.77375
       0.004329        4.76977
     0.00431034        4.76977
     0.00429185        4.76977
      0.0042735        4.77375
     0.00425532        4.77375
     0.00423729        4.77375
     0.00421941        4.77375
     0.00420168        4.76977
      0.0041841        4.76977
     0.00416667        4.76977
     0.00414938        4.76977
     0.00413223        4.76977
     0.00411523        4.76977
     0.00409836        4.77375
     0.00408163        4.76977
     0.00406504        4.77375
     0.00404858        4.76977
     0.00403226        4.76977
     0.00401606        4.76977
          0.004        4.77375
     0.00398406        4.77375
     0.00396825        4.76977
     0.00395257          4.778
     0.00393701        4.76977
     0.00392157          4.778
     0.00390625        4.76977
     0.00389105        4.77375
     0.00387597        4.76977
       0.003861        4.77375
     0.00384615        4.77375
     0.00383142        4.77375
     0.00381679        4.76977
     0.00380228        4.76977
     0.00378788        4.77375
     0.00377358        4.76977
      0.0037594        4.76977
     0.00374532        4.77375
     0.00373134        4.76977
     0.00371747          4.778
      0.0037037          4.778
     0.00369004        4.76977
     0.00367647        4.77375
       0.003663        4.76977
     0.00364964        4.76977
     0.00363636        4.76977
     0.00362319        4.76977
     0.00361011        4.77375
     0.00359712        4.77375
     0.00358423        4.76977
     0.00357143        4.76977
     0.00355872          4.778
      0.0035461        4.76977
